Nome,url,Data Criacao,Data de Atualizacao,Total de releases,Linguagem,Idade,Tempo de Atualizacao em dias
eriklindernoren/Keras-GAN,https://github.com/eriklindernoren/Keras-GAN,2020-04-02,2020-04-02T00:13:39Z,0,Python,2,1
rbgirshick/py-faster-rcnn,https://github.com/rbgirshick/py-faster-rcnn,2020-04-01,2020-04-01T22:16:00Z,0,Python,4,0
benoitc/gunicorn,https://github.com/benoitc/gunicorn,2020-04-01,2020-04-01T23:29:55Z,25,Python,10,0
Urinx/WeixinBot,https://github.com/Urinx/WeixinBot,2020-04-02,2020-04-02T02:39:54Z,0,Python,4,1
tweepy/tweepy,https://github.com/tweepy/tweepy,2020-04-01,2020-04-01T09:24:49Z,11,Python,10,0
Yelp/elastalert,https://github.com/Yelp/elastalert,2020-04-02,2020-04-02T01:00:57Z,1,Python,5,1
aws/chalice,https://github.com/aws/chalice,2020-04-01,2020-04-01T20:49:08Z,0,Python,3,0
uber/ludwig,https://github.com/uber/ludwig,2020-04-02,2020-04-02T02:37:21Z,6,Python,1,1
hardikvasa/google-images-download,https://github.com/hardikvasa/google-images-download,2020-04-01,2020-04-01T16:22:41Z,0,Python,5,0
pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,2020-04-01,2020-04-01T22:44:40Z,24,Python,8,0
larsenwork/monoid,https://github.com/larsenwork/monoid,2020-04-01,2020-04-01T16:29:59Z,0,Python,5,0
vipstone/faceai,https://github.com/vipstone/faceai,2020-04-01,2020-04-01T14:10:56Z,0,Python,1,0
dask/dask,https://github.com/dask/dask,2020-04-01,2020-04-01T19:33:35Z,0,Python,5,0
p-e-w/maybe,https://github.com/p-e-w/maybe,2020-03-30,2020-03-30T13:48:35Z,5,Python,4,2
pydanny/cookiecutter-django,https://github.com/pydanny/cookiecutter-django,2020-04-01,2020-04-01T17:48:35Z,8,Python,6,0
boto/boto,https://github.com/boto/boto,2020-03-28,2020-03-28T01:28:00Z,0,Python,9,4
s0md3v/Photon,https://github.com/s0md3v/Photon,2020-04-01,2020-04-01T10:39:54Z,18,Python,2,0
mopidy/mopidy,https://github.com/mopidy/mopidy,2020-04-01,2020-04-01T21:47:10Z,8,Python,10,0
Cadene/pretrained-models.pytorch,https://github.com/Cadene/pretrained-models.pytorch,2020-04-02,2020-04-02T02:41:11Z,0,Python,2,1
miguelgrinberg/flasky,https://github.com/miguelgrinberg/flasky,2020-04-01,2020-04-01T10:49:20Z,0,Python,6,0
Gallopsled/pwntools,https://github.com/Gallopsled/pwntools,2020-04-02,2020-04-02T00:43:17Z,37,Python,6,1
deepinsight/insightface,https://github.com/deepinsight/insightface,2020-04-01,2020-04-01T12:47:05Z,0,Python,2,0
Zulko/moviepy,https://github.com/Zulko/moviepy,2020-04-01,2020-04-01T18:09:10Z,11,Python,6,0
yandex/gixy,https://github.com/yandex/gixy,2020-04-01,2020-04-01T03:32:27Z,9,Python,3,0
plotly/plotly.py,https://github.com/plotly/plotly.py,2020-04-02,2020-04-02T02:12:32Z,37,Python,6,1
machinelearningmindset/machine-learning-course,https://github.com/machinelearningmindset/machine-learning-course,2020-04-01,2020-04-01T04:51:22Z,1,Python,1,0
netbox-community/netbox,https://github.com/netbox-community/netbox,2020-04-01,2020-04-01T23:31:48Z,135,Python,4,0
asciimoo/searx,https://github.com/asciimoo/searx,2020-04-01,2020-04-01T18:34:11Z,11,Python,6,0
cyrus-and/gdb-dashboard,https://github.com/cyrus-and/gdb-dashboard,2020-04-02,2020-04-02T00:43:24Z,0,Python,4,1
30-seconds/30-seconds-of-python,https://github.com/30-seconds/30-seconds-of-python,2020-04-01,2020-04-01T13:46:35Z,0,Python,2,0
schollz/howmanypeoplearearound,https://github.com/schollz/howmanypeoplearearound,2020-04-01,2020-04-01T20:31:25Z,1,Python,2,0
nodejs/node-gyp,https://github.com/nodejs/node-gyp,2020-04-02,2020-04-02T02:38:51Z,0,Python,8,1
kennethreitz-archive/records,https://github.com/kennethreitz-archive/records,2020-04-01,2020-04-01T13:16:21Z,0,Python,5,0
mlflow/mlflow,https://github.com/mlflow/mlflow,2020-04-02,2020-04-02T01:07:27Z,26,Python,1,1
pirate/ArchiveBox,https://github.com/pirate/ArchiveBox,2020-04-02,2020-04-02T00:10:00Z,9,Python,2,1
bup/bup,https://github.com/bup/bup,2020-04-01,2020-04-01T18:04:40Z,0,Python,7,0
pypa/pip,https://github.com/pypa/pip,2020-04-02,2020-04-02T02:44:54Z,0,Python,9,1
tgalal/yowsup,https://github.com/tgalal/yowsup,2020-04-01,2020-04-01T21:45:30Z,15,Python,7,0
hugapi/hug,https://github.com/hugapi/hug,2020-04-02,2020-04-02T00:41:45Z,13,Python,4,1
prompt-toolkit/python-prompt-toolkit,https://github.com/prompt-toolkit/python-prompt-toolkit,2020-04-01,2020-04-01T23:40:50Z,0,Python,6,0
fchollet/deep-learning-models,https://github.com/fchollet/deep-learning-models,2020-04-02,2020-04-02T02:20:12Z,8,Python,3,1
lanpa/tensorboardX,https://github.com/lanpa/tensorboardX,2020-03-31,2020-03-31T10:16:23Z,9,Python,2,1
The-Art-of-Hacking/h4cker,https://github.com/The-Art-of-Hacking/h4cker,2020-04-01,2020-04-01T23:39:15Z,0,Python,2,0
paramiko/paramiko,https://github.com/paramiko/paramiko,2020-04-01,2020-04-01T23:40:17Z,0,Python,11,0
bbfamily/abu,https://github.com/bbfamily/abu,2020-04-01,2020-04-01T14:18:30Z,1,Python,3,0
deis/deis,https://github.com/deis/deis,2020-04-01,2020-04-01T13:26:47Z,66,Python,6,0
ankitects/anki,https://github.com/ankitects/anki,2020-04-02,2020-04-02T01:44:30Z,6,Python,7,1
luyishisi/Anti-Anti-Spider,https://github.com/luyishisi/Anti-Anti-Spider,2020-04-02,2020-04-02T02:46:54Z,0,Python,3,1
pyro-ppl/pyro,https://github.com/pyro-ppl/pyro,2020-04-01,2020-04-01T20:46:58Z,19,Python,2,0
numenta/nupic,https://github.com/numenta/nupic,2020-04-01,2020-04-01T21:58:14Z,47,Python,6,0
pyeve/eve,https://github.com/pyeve/eve,2020-04-02,2020-04-02T01:29:31Z,0,Python,7,1
giampaolo/psutil,https://github.com/giampaolo/psutil,2020-04-01,2020-04-01T21:12:58Z,0,Python,5,0
Supervisor/supervisor,https://github.com/Supervisor/supervisor,2020-04-01,2020-04-01T22:05:07Z,0,Python,9,0
mps-youtube/mps-youtube,https://github.com/mps-youtube/mps-youtube,2020-04-02,2020-04-02T01:29:20Z,27,Python,6,1
brightmart/text_classification,https://github.com/brightmart/text_classification,2020-04-01,2020-04-01T13:12:24Z,0,Python,2,0
crsmithdev/arrow,https://github.com/crsmithdev/arrow,2020-04-01,2020-04-01T22:21:51Z,29,Python,7,0
tensorlayer/tensorlayer,https://github.com/tensorlayer/tensorlayer,2020-04-02,2020-04-02T01:25:28Z,72,Python,3,1
microsoft/botframework-sdk,https://github.com/microsoft/botframework-sdk,2020-04-01,2020-04-01T23:18:02Z,75,Python,4,0
ajenti/ajenti,https://github.com/ajenti/ajenti,2020-04-01,2020-04-01T21:44:09Z,16,Python,10,0
wiseodd/generative-models,https://github.com/wiseodd/generative-models,2020-04-02,2020-04-02T00:59:09Z,0,Python,3,1
microsoft/c9-python-getting-started,https://github.com/microsoft/c9-python-getting-started,2020-04-01,2020-04-01T07:18:18Z,0,Python,0,0
ReFirmLabs/binwalk,https://github.com/ReFirmLabs/binwalk,2020-04-02,2020-04-02T01:24:21Z,4,Python,6,1
frappe/erpnext,https://github.com/frappe/erpnext,2020-04-02,2020-04-02T00:33:59Z,848,Python,8,1
kivy/python-for-android,https://github.com/kivy/python-for-android,2020-04-01,2020-04-01T22:20:56Z,7,Python,8,0
eriklindernoren/PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,2020-04-02,2020-04-02T02:35:59Z,0,Python,1,1
Hironsan/BossSensor,https://github.com/Hironsan/BossSensor,2020-03-31,2020-03-31T14:28:46Z,0,Python,3,1
jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2020-03-31,2020-03-31T15:40:04Z,2,Python,11,1
Delgan/loguru,https://github.com/Delgan/loguru,2020-04-01,2020-04-01T19:47:41Z,13,Python,2,0
PyMySQL/PyMySQL,https://github.com/PyMySQL/PyMySQL,2020-04-01,2020-04-01T09:33:35Z,0,Python,8,0
newsapps/beeswithmachineguns,https://github.com/newsapps/beeswithmachineguns,2020-04-02,2020-04-02T00:23:09Z,0,Python,9,1
crazyguitar/pysheeet,https://github.com/crazyguitar/pysheeet,2020-04-01,2020-04-01T21:27:35Z,0,Python,4,0
facebookresearch/pytext,https://github.com/facebookresearch/pytext,2020-04-01,2020-04-01T23:05:39Z,7,Python,1,0
readthedocs/readthedocs.org,https://github.com/readthedocs/readthedocs.org,2020-04-02,2020-04-02T00:11:38Z,0,Python,9,1
lebinh/ngxtop,https://github.com/lebinh/ngxtop,2020-04-01,2020-04-01T00:40:09Z,1,Python,6,0
MobSF/Mobile-Security-Framework-MobSF,https://github.com/MobSF/Mobile-Security-Framework-MobSF,2020-04-02,2020-04-02T00:28:38Z,30,Python,5,1
matrix-org/synapse,https://github.com/matrix-org/synapse,2020-04-01,2020-04-01T21:50:32Z,250,Python,5,0
pytest-dev/pytest,https://github.com/pytest-dev/pytest,2020-04-02,2020-04-02T02:31:13Z,23,Python,4,1
NVlabs/SPADE,https://github.com/NVlabs/SPADE,2020-04-02,2020-04-02T00:31:05Z,0,Python,1,1
taobao/nginx-book,https://github.com/taobao/nginx-book,2020-04-01,2020-04-01T16:25:06Z,0,Python,7,0
axi0mX/ipwndfu,https://github.com/axi0mX/ipwndfu,2020-04-01,2020-04-01T14:23:23Z,0,Python,2,0
microsoft/nni,https://github.com/microsoft/nni,2020-04-02,2020-04-02T02:43:31Z,20,Python,1,1
frostming/legit,https://github.com/frostming/legit,2020-04-01,2020-04-01T04:59:49Z,7,Python,8,0
yenchenlin/DeepLearningFlappyBird,https://github.com/yenchenlin/DeepLearningFlappyBird,2020-03-31,2020-03-31T08:53:57Z,0,Python,4,1
ytisf/theZoo,https://github.com/ytisf/theZoo,2020-04-02,2020-04-02T01:46:55Z,2,Python,6,1
vibora-io/vibora,https://github.com/vibora-io/vibora,2020-04-01,2020-04-01T20:17:29Z,0,Python,1,0
graphql-python/graphene,https://github.com/graphql-python/graphene,2020-04-01,2020-04-01T15:24:28Z,43,Python,4,0
jupyterhub/jupyterhub,https://github.com/jupyterhub/jupyterhub,2020-04-01,2020-04-01T19:11:21Z,0,Python,5,0
instabot-py/instabot.py,https://github.com/instabot-py/instabot.py,2020-04-01,2020-04-01T09:16:53Z,0,Python,4,0
xchaoinfo/fuck-login,https://github.com/xchaoinfo/fuck-login,2020-04-01,2020-04-01T13:30:08Z,0,Python,4,0
flask-restful/flask-restful,https://github.com/flask-restful/flask-restful,2020-04-01,2020-04-01T17:20:43Z,6,Python,7,0
samuelclay/NewsBlur,https://github.com/samuelclay/NewsBlur,2020-04-01,2020-04-01T19:22:42Z,0,Python,11,0
qqwweee/keras-yolo3,https://github.com/qqwweee/keras-yolo3,2020-04-01,2020-04-01T17:45:35Z,0,Python,1,0
awslabs/aws-shell,https://github.com/awslabs/aws-shell,2020-04-01,2020-04-01T19:52:17Z,0,Python,4,0
thtrieu/darkflow,https://github.com/thtrieu/darkflow,2020-04-01,2020-04-01T06:09:59Z,0,Python,3,0
gelstudios/gitfiti,https://github.com/gelstudios/gitfiti,2020-04-01,2020-04-01T05:11:25Z,0,Python,6,0
encode/apistar,https://github.com/encode/apistar,2020-04-01,2020-04-01T13:32:12Z,0,Python,3,0
a1studmuffin/SpaceshipGenerator,https://github.com/a1studmuffin/SpaceshipGenerator,2020-04-01,2020-04-01T20:49:11Z,3,Python,3,0
nate-parrott/Flashlight,https://github.com/nate-parrott/Flashlight,2020-03-31,2020-03-31T22:36:12Z,46,Python,5,1
n1nj4sec/pupy,https://github.com/n1nj4sec/pupy,2020-04-01,2020-04-01T11:25:27Z,1,Python,4,0
ufoym/deepo,https://github.com/ufoym/deepo,2020-04-01,2020-04-01T14:51:07Z,2,Python,2,0
rwv/chinese-dos-games,https://github.com/rwv/chinese-dos-games,2020-04-01,2020-04-01T10:21:19Z,0,Python,1,0
facebookresearch/ParlAI,https://github.com/facebookresearch/ParlAI,2020-04-01,2020-04-01T21:07:07Z,0,Python,2,0
Dman95/SASM,https://github.com/Dman95/SASM,2020-04-01,2020-04-01T06:42:19Z,22,Python,6,0
webpy/webpy,https://github.com/webpy/webpy,2020-04-01,2020-04-01T15:19:28Z,3,Python,11,0
tensorpack/tensorpack,https://github.com/tensorpack/tensorpack,2020-04-01,2020-04-01T10:47:06Z,3,Python,4,0
maxbbraun/trump2cash,https://github.com/maxbbraun/trump2cash,2020-04-01,2020-04-01T16:36:54Z,0,Python,3,0
shadowsocksr-backup/shadowsocksr,https://github.com/shadowsocksr-backup/shadowsocksr,2020-04-01,2020-04-01T19:07:09Z,0,Python,2,0
tensorflow/nmt,https://github.com/tensorflow/nmt,2020-03-31,2020-03-31T16:06:34Z,0,Python,2,1
pennersr/django-allauth,https://github.com/pennersr/django-allauth,2020-04-02,2020-04-02T02:21:59Z,0,Python,9,1
boto/boto3,https://github.com/boto/boto3,2020-04-01,2020-04-01T19:15:12Z,14,Python,5,0
chainer/chainer,https://github.com/chainer/chainer,2020-04-01,2020-04-01T05:21:58Z,102,Python,4,0
